Speaker	Transcript	# Words	# Nodes	# Tokens	# Propositions	Tree depth	S-Expression
HOLT 	"And this next two-minute answer goes to you, Mr. Trump."	10	19	12	5	5	"(ROOT (S (CC And) (NP (DT this) (JJ next) (JJ two-minute) (NN answer)) (VP (VBZ goes) (PP (TO to) (NP (NP (PRP you)) (, ,) (NP (NNP Mr.) (NNP Trump))))) (. .)))"
TRUMP 	"Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs."	15	35	19	10	10	"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB really)) (VP (VBG calling) (PP (IN for) (NP (JJ major) (NNS jobs))) (, ,) (SBAR (IN because) (S (NP (DT the) (JJ wealthy)) (VP (VBP are) (VP (VBG going) (S (VP (VB create) (NP (JJ tremendous) (NNS jobs)))))))))) (. .)))"
TRUMP 	They're going to expand their companies.	6	16	8	4	7	(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB expand) (NP (PRP$ their) (NNS companies))))))) (. .)))
TRUMP 	They're going to do a tremendous job.	7	17	9	5	7	(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (DT a) (JJ tremendous) (NN job))))))) (. .)))
TRUMP 	I'm getting rid of the carried interest provision.	8	17	10	5	6	(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG getting) (ADJP (JJ rid) (PP (IN of) (NP (DT the) (JJ carried) (NN interest) (NN provision)))))) (. .)))
TRUMP 	"And if you really look, it's not a tax — it's really not a great thing for the wealthy."	19	41	23	10	6	"(ROOT (S (S (CC And) (SBAR (IN if) (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP look)))) (, ,) (NP (PRP it)) (VP (VBZ 's) (RB not) (NP (DT a) (NN tax)))) (: --) (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB really)) (NP (NP (RB not) (DT a) (JJ great) (NN thing)) (PP (IN for) (NP (DT the) (JJ wealthy)))))) (. .)))"
TRUMP 	It's a great thing for the middle class.	8	17	10	4	5	(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (JJ great) (NN thing)) (PP (IN for) (NP (DT the) (JJ middle) (NN class))))) (. .)))
TRUMP 	It's a great thing for companies to expand.	8	20	10	5	8	(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (JJ great) (NN thing)) (PP (IN for) (NP (NNS companies) (S (VP (TO to) (VP (VB expand)))))))) (. .)))
TRUMP 	"And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2."	22	53	26	10	12	"(ROOT (FRAG (CC And) (SBAR (SBAR (WHADVP (WRB when)) (S (NP (DT these) (NNS people)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB put) (NP (NP (NNS billions) (CC and) (NNS billions)) (PP (IN of) (NP (NNS dollars)))) (PP (IN into) (NP (NNS companies)))))))))) (, ,) (CC and) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB bring) (NP ($ $) (CD 2)))))))))) (. .)))"
TRUMP 	"5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what — is so bad."	42	90	50	21	18	"(ROOT (S (S (NP (QP (CD 5) (CD trillion))) (VP (VBP back) (PP (IN from) (NP (RB overseas))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB bring) (NP (DT the) (NN money)) (ADVP (RB back)) (, ,) (SBAR (IN because) (S (NP (NP (NNS politicians)) (PP (IN like) (NP (NNP Secretary) (NNP Clinton)))) (VP (MD wo) (RB n't) (VP (VB allow) (S (NP (PRP them)) (VP (TO to) (VP (VB bring) (NP (DT the) (NN money)) (ADVP (RB back)) (, ,) (SBAR (IN because) (S (NP (DT the) (NNS taxes)) (VP (VBP are) (ADJP (RB so) (JJ onerous)))))))))))))))))) (, ,) (CC and) (S (NP (NP (DT the) (JJ bureaucratic) (JJ red) (NN tape)) (, ,) (RB so) (NP (WP what)) (: --)) (VP (VBZ is) (ADJP (RB so) (JJ bad)))) (. .)))"
TRUMP 	"So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country."	34	86	41	16	13	"(ROOT (S (CC So) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG doing))))) (VP (VBZ is) (SBAR (SBAR (S (S (NP (PRP they)) (VP (VBP 're) (VP (VBG leaving) (NP (PRP$ our) (NN country))))) (, ,) (CC and) (S (NP (PRP they)) (VP (VP (VBP 're)) (PRN (, ,) (S (VP (VB believe) (NP (PRP it)) (CC or) (RB not))) (, ,)) (S (VP (VBG leaving) (SBAR (IN because) (S (NP (NNS taxes)) (VP (VBP are) (ADJP (RB too) (JJ high))))))))))) (CC and) (SBAR (IN because) (S (NP (NP (DT some)) (PP (IN of) (NP (PRP them)))) (VP (VBP have) (NP (NP (NNS lots)) (PP (IN of) (NP (NP (NN money) (NN outside)) (PP (IN of) (NP (PRP$ our) (NN country))))))))))) (. .)))"
TRUMP 	"And instead of bringing it back and putting the money to work, because they can't work out a deal to — and everybody agrees it should be brought back."	29	61	32	14	9	"(ROOT (S (CC And) (S (VP (CONJP (RB instead) (IN of)) (VP (VBG bringing) (NP (PRP it)) (ADVP (RB back))) (CC and) (VP (VBG putting) (NP (DT the) (NN money)) (PP (TO to) (NP (NN work))) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB work) (PRT (RP out)) (NP (DT a) (NN deal)) (PP (TO to))))))))) (: --) (CC and) (S (NP (NN everybody)) (VP (VBZ agrees) (SBAR (S (NP (PRP it)) (VP (MD should) (VP (VB be) (VP (VBN brought) (ADVP (RB back))))))))) (. .)))"
TRUMP 	"Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together."	31	68	39	17	16	"(ROOT (S (PP (RB Instead) (IN of) (NP (DT that))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG leaving) (NP (PRP$ our) (NN country) (S (VP (TO to) (VP (VB get) (NP (PRP$ their) (NN money)) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB bring) (NP (PRP$ their) (NN money)) (PRT (RP back)) (PP (PP (IN into) (NP (PRP$ our) (NN country))) (, ,) (RB because) (PP (IN of) (NP (JJ bureaucratic) (JJ red) (NN tape)))) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB get) (ADVP (RB together)))))))))))))))) (. .)))"
TRUMP 	Because we have — we have a president that can't sit them around a table and get them to approve something.	21	47	23	8	12	(ROOT (S (SBAR (IN Because) (S (NP (PRP we)) (VP (VBP have)))) (: --) (NP (PRP we)) (VP (VBP have) (NP (NP (DT a) (NN president)) (SBAR (WHNP (WDT that)) (S (VP (MD ca) (RB n't) (VP (VP (VB sit) (NP (PRP them)) (PP (IN around) (NP (DT a) (NN table)))) (CC and) (VP (VB get) (S (NP (PRP them)) (VP (TO to) (VP (VB approve) (NP (NN something)))))))))))) (. .)))
TRUMP 	And here's the thing.	4	10	6	2	3	(ROOT (S (CC And) (NP (RB here)) (VP (VBZ 's) (NP (DT the) (NN thing))) (. .)))
TRUMP 	"Republicans and Democrats agree that this should be done, $2."	10	23	13	3	8	"(ROOT (S (NP (NNPS Republicans) (CC and) (NNPS Democrats)) (VP (VBP agree) (SBAR (IN that) (S (NP (DT this)) (VP (MD should) (VP (VB be) (VP (VBN done) (, ,) (NP ($ $) (CD 2)))))))) (. .)))"
TRUMP 	5 trillion.	2	4	3	1	1	(ROOT (NP (CD 5) (RB trillion) (. .)))
TRUMP 	I happen to think it's double that.	7	20	9	5	9	(ROOT (S (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (RB double) (NP (DT that))))))))) (. .)))
TRUMP 	"It's probably $5 trillion that we can't bring into our country, Lester."	12	33	17	5	10	"(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB probably)) (NP (NP (QP ($ $) (CD 5) (CD trillion))) (SBAR (IN that) (S (NP (PRP we)) (VP (MD ca) (RB n't) (VP (VB bring) (PP (IN into) (NP (NP (PRP$ our) (NN country)) (, ,) (NP (NNP Lester)))))))))) (. .)))"
TRUMP 	"And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful."	33	68	38	17	13	"(ROOT (S (CC And) (PP (IN with) (NP (DT a) (JJ little) (NN leadership))) (, ,) (S (NP (PRP you)) (VP (MD 'd) (VP (VB get) (NP (PRP it)) (PP (IN in) (NP (RB here))) (ADVP (RB very) (RB quickly))))) (, ,) (CC and) (S (S (NP (PRP it)) (VP (MD could) (VP (VB be) (VP (VBN put) (S (VP (TO to) (VP (VB use) (PP (IN on) (NP (NP (DT the) (JJ inner) (NNS cities) (CC and) (NNS lots)) (PP (IN of) (NP (JJ other) (NNS things)))))))))))) (, ,) (CC and) (S (NP (PRP it)) (VP (MD would) (VP (VB be) (ADJP (JJ beautiful)))))) (. .)))"
TRUMP 	But we have no leadership.	5	10	6	1	3	(ROOT (S (CC But) (NP (PRP we)) (VP (VBP have) (NP (DT no) (NN leadership))) (. .)))
TRUMP 	"And honestly, that starts with Secretary Clinton."	7	15	9	3	4	"(ROOT (S (CC And) (ADVP (RB honestly)) (, ,) (NP (DT that)) (VP (VBZ starts) (PP (IN with) (NP (NNP Secretary) (NNP Clinton)))) (. .)))"
HOLT 	All right.	2	4	3	0	1	(ROOT (NP (DT All) (NN right) (. .)))
HOLT 	"You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton."	18	35	20	7	11	"(ROOT (S (NP (PRP You)) (VP (VBP have) (NP (NP (CD two) (NNS minutes)) (PP (IN of) (NP (DT the) (JJ same) (NN question) (S (VP (TO to) (VP (VB defend) (NP (NN tax) (NNS increases)) (PP (IN on) (NP (NP (DT the) (JJS wealthiest) (NNPS Americans)) (, ,) (NP (NNP Secretary) (NNP Clinton))))))))))) (. .)))"
CLINTON 	"I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened."	21	56	26	12	13	"(ROOT (S (S (NP (PRP I)) (VP (VP (VBP have) (NP (NP (DT a) (NN feeling)) (SBAR (IN that) (FRAG (PP (IN by)))))) (, ,) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT this) (NN evening)))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN blamed) (PP (IN for) (NP (NP (NN everything)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (ADVP (RB ever)) (VP (VBN happened))))))))))))) (. .)))"
TRUMP 	Why not?	2	4	2	1	2	(ROOT (FRAG (WHADVP (WRB Why) (RB not))))
CLINTON 	Why not?	2	4	2	1	2	(ROOT (FRAG (WHADVP (WRB Why) (RB not))))
CLINTON 	"Yeah, why not?"	3	7	4	1	2	"(ROOT (FRAG (INTJ (UH Yeah)) (, ,) (NP (NN why) (RB not))))"
CLINTON 	"You know, just join the debate by saying more crazy things."	11	25	13	7	9	"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (ADVP (RB just)) (S (VP (VB join) (NP (DT the) (NN debate)) (PP (IN by) (S (VP (VBG saying) (NP (ADJP (RBR more) (JJ crazy)) (NNS things)))))))) (. .)))"
CLINTON 	"Now, let me say this, it is absolutely the case."	10	26	13	5	7	"(ROOT (S (S (INTJ (RB Now)) (, ,) (VP (VB let) (SBAR (S (NP (PRP me)) (VP (VBP say) (NP (DT this))))))) (, ,) (NP (PRP it)) (VP (VBZ is) (ADVP (RB absolutely)) (NP (DT the) (NN case))) (. .)))"
TRUMP 	There's nothing crazy about not letting our companies bring their money back into their country.	15	32	17	8	10	(ROOT (S (NP (EX There)) (VP (VBZ 's) (ADJP (ADJP (NN nothing) (JJ crazy)) (PP (IN about) (S (RB not) (VP (VBG letting) (S (NP (PRP$ our) (NNS companies)) (VP (VB bring) (NP (PRP$ their) (NN money)) (ADVP (RB back)) (PP (IN into) (NP (PRP$ their) (NN country)))))))))) (. .)))
HOLT 	"This is — this is Secretary Clinton's two minutes, please."	10	25	13	3	6	"(ROOT (S (S (NP (DT This)) (VP (VBZ is))) (: --) (S (NP (DT this)) (VP (VP (VBZ is) (NP (NP (NNP Secretary) (NNP Clinton) (POS 's)) (CD two) (NNS minutes))) (PRN (, ,) (INTJ (VB please))))) (. .)))"
TRUMP 	Yes.	1	3	2	0	1	(ROOT (INTJ (UH Yes) (. .)))
CLINTON 	"Yeah, well, let's start the clock again, Lester."	8	22	13	3	5	"(ROOT (S (INTJ (UH Yeah) (, ,) (UH well)) (, ,) (VP (VB let) (S (NP (POS 's)) (VP (VB start) (NP (DT the) (NN clock)) (ADVP (RB again)) (, ,) (NP (NNP Lester))))) (. .)))"
CLINTON 	We've looked at your tax proposals.	6	14	8	3	5	(ROOT (S (NP (PRP We)) (VP (VBP 've) (VP (VBN looked) (PP (IN at) (NP (PRP$ your) (NN tax) (NNS proposals))))) (. .)))
CLINTON 	"I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas."	29	70	34	16	12	"(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (NP (NP (NP (NNS changes)) (PP (IN in) (NP (DT the) (JJ corporate) (NN tax) (NNS rates)))) (CC or) (NP (NP (DT the) (NNS kinds)) (PP (IN of) (NP (NNS proposals)))))))) (NP (PRP you)) (VP (VBP 're) (VP (VBG referring) (PP (TO to) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (VB cause) (NP (DT the) (NN repatriation))))))) (, ,) (S (VP (VBG bringing) (PRT (RP back)) (PP (IN of) (NP (NP (NN money)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (VP (VBN stranded) (ADVP (RB overseas)))))))))))) (. .)))"
CLINTON 	I happen to support that.	5	13	6	3	6	(ROOT (S (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB support) (NP (DT that)))))) (. .)))
TRUMP 	Then you didn't read it.	5	12	7	4	4	(ROOT (S (RB Then) (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB read) (NP (PRP it)))) (. .)))
CLINTON 	I happen to — I happen to support that in a way that will actually work to our benefit.	19	44	20	11	15	(ROOT (S (S (NP (PRP I)) (VP (VBP happen) (PP (TO to)))) (: --) (S (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB support) (NP (NP (DT that)) (PP (IN in) (NP (NP (DT a) (NN way)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (ADVP (RB actually)) (VP (VB work) (PP (TO to) (NP (PRP$ our) (NN benefit))))))))))))))) (. .)))
CLINTON 	"But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do."	29	68	32	11	12	"(ROOT (S (CC But) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP look) (PP (IN at) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP have) (VP (VBN proposed))))))))) (, ,) (NP (PRP you)) (VP (VBP have) (NP (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBN called) (ADVP (RB now)) (NP (DT the) (NNP Trump) (NN loophole)) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (MD would) (ADVP (RB so)) (VP (VB advantage) (NP (PRP you)))))))))) (CC and) (NP (NP (DT the) (NN business)) (SBAR (S (NP (PRP you)) (VP (VBP do))))))) (. .)))"
CLINTON 	You've proposed an approach that has a.	7	19	8	4	8	(ROOT (S (NP (PRP You)) (VP (VBP 've) (VP (VBN proposed) (NP (NP (DT an) (NN approach)) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (VP (VBN a.))))))))))
TRUMP 	Who gave it that name?	5	11	5	1	4	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD gave) (NP (PRP it)) (NP (DT that) (NN name))))))
TRUMP 	The first I've — who gave it that name?	9	19	10	3	6	(ROOT (S (NP (DT The) (JJ first) (NN I)) (VP (VBP 've) (: --) (SBAR (WHNP (WP who)) (S (VP (VBD gave) (NP (PRP it)) (NP (DT that) (NN name))))))))
HOLT 	"Mr. Trump, this is Secretary Clinton's two minutes."	8	17	11	1	4	"(ROOT (S (NP (NNP Mr.) (NNP Trump)) (, ,) (NP (DT this)) (VP (VBZ is) (NP (NP (NNP Secretary) (NNP Clinton) (POS 's)) (CD two) (NNS minutes))) (. .)))"
CLINTON 	$4 billion tax benefit for your family.	7	15	9	2	4	(ROOT (S (NP (QP ($ $) (CD 4) (CD billion)) (NN tax)) (VP (VBP benefit) (PP (IN for) (NP (PRP$ your) (NN family)))) (. .)))
CLINTON 	And when you look at what you are proposing.	9	23	10	4	9	(ROOT (FRAG (CC And) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP are) (VP (VBG proposing))))))))) (. .)))
TRUMP 	How much?	2	4	2	1	2	(ROOT (FRAG (WHADJP (WRB How) (JJ much))))
TRUMP 	How much for my family?	5	9	5	2	3	(ROOT (FRAG (WHADVP (WRB How) (RB much)) (PP (IN for) (NP (PRP$ my) (NN family)))))
CLINTON 	it is.	2	6	3	1	2	(ROOT (S (NP (PRP it)) (VP (VBZ is)) (. .)))
TRUMP 	"Lester, how much?"	3	7	4	2	2	"(ROOT (FRAG (SBAR (RB Lester)) (, ,) (WHADVP (WRB how) (RB much))))"
CLINTON 	"as I said, trumped-up trickle-down."	5	14	7	2	4	"(ROOT (S (SBAR (IN as) (S (NP (PRP I)) (VP (VBD said)))) (, ,) (NP (NN trumped-up)) (VP (VBZ trickle-down)) (. .)))"
CLINTON 	Trickle-down did not work.	4	9	5	3	3	(ROOT (S (NP (NNP Trickle-down)) (VP (VBD did) (RB not) (VP (VB work))) (. .)))
CLINTON 	"It got us into the mess we were in, in 2008 and 2009."	13	29	15	5	9	"(ROOT (S (NP (PRP It)) (VP (VBD got) (NP (PRP us)) (PP (IN into) (NP (NP (DT the) (NN mess)) (SBAR (S (NP (PRP we)) (VP (VBD were) (ADVP (RB in)) (, ,) (PP (IN in) (NP (CD 2008) (CC and) (CD 2009))))))))) (. .)))"
CLINTON 	Slashing taxes on the wealthy hasn't worked.	7	16	9	6	4	(ROOT (S (NP (NP (VBG Slashing) (NNS taxes)) (PP (IN on) (NP (DT the) (JJ wealthy)))) (VP (VBZ has) (RB n't) (VP (VBN worked))) (. .)))
CLINTON 	"And a lot of really smart, wealthy people know that."	10	20	12	5	5	"(ROOT (S (CC And) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (ADJP (RB really) (JJ smart) (, ,) (JJ wealthy)) (NNS people)))) (VP (VBP know) (NP (DT that))) (. .)))"
CLINTON 	"And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class."	23	53	26	14	18	"(ROOT (S (S (CC And) (NP (PRP they)) (VP (VBP are) (VP (VBG saying) (, ,) (ADVP (RB hey))))) (, ,) (NP (PRP we)) (VP (VBP need) (S (VP (TO to) (VP (VB do) (NP (JJR more)) (S (VP (TO to) (VP (VB make) (NP (NP (DT the) (NNS contributions)) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB be) (VP (VBG making) (S (VP (TO to) (VP (VB rebuild) (NP (DT the) (JJ middle) (NN class)))))))))))))))))) (. .)))"
CLINTON 	I don't think top-down works in America.	7	16	9	5	5	(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (NP (JJ top-down) (NNS works)) (PP (IN in) (NP (NNP America))))) (. .)))
CLINTON 	"I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their — their debt from college at a lower rate."	35	71	39	16	12	"(ROOT (S (NP (PRP I)) (VP (VBP think) (S (VP (VP (VBG building) (NP (DT the) (JJ middle) (NN class))) (, ,) (VP (VBG investing) (PP (IN in) (NP (DT the) (JJ middle) (NN class)))) (, ,) (VP (VBG making) (S (NP (NN college) (NN debt-free)) (ADJP (RB so) (RBR more) (SBAR (S (NP (JJ young) (NNS people)) (VP (MD can) (VP (VB get) (NP (PRP$ their) (NN education))))))))) (, ,) (VP (VBG helping) (S (NP (NNS people)) (VP (VP (VB refinance) (NP (PRP$ their))) (: --) (VP (NP (PRP$ their) (NN debt)) (PP (IN from) (NP (NN college))))))) (PP (IN at) (NP (DT a) (JJR lower) (NN rate)))))) (. .)))"
CLINTON 	Those are the kinds of things that will really boost the economy.	12	28	13	4	10	(ROOT (S (NP (DT Those)) (VP (VBP are) (NP (NP (DT the) (NNS kinds)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (ADVP (RB really)) (VP (VB boost) (NP (DT the) (NN economy)))))))))) (. .)))
CLINTON 	"Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top."	18	38	21	10	9	"(ROOT (S (NP (JJ Broad-based) (, ,) (JJ inclusive) (NN growth)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP need) (PP (IN in) (NP (NP (NNP America)) (, ,) (RB not) (NP (JJR more) (NNS advantages)))) (PP (IN for) (NP (NP (NNS people)) (PP (IN at) (NP (DT the) (JJ very) (NN top))))))))) (. .)))"
HOLT 	"Mr. Trump, we're."	3	10	6	1	2	"(ROOT (S (NP (NNP Mr.) (NNP Trump)) (, ,) (NP (PRP we)) (VP (VBP 're)) (. .)))"
TRUMP 	Typical politician.	2	4	3	1	1	(ROOT (NP (JJ Typical) (NN politician) (. .)))
TRUMP 	"All talk, no action."	4	9	6	0	2	"(ROOT (NP (NP (DT All) (NN talk)) (, ,) (NP (DT no) (NN action)) (. .)))"
TRUMP 	"Sounds good, doesn't work."	4	12	7	5	3	"(ROOT (S (ADVP (RB Sounds)) (ADJP (JJ good)) (, ,) (VP (VBZ does) (RB n't) (VP (VB work))) (. .)))"
TRUMP 	Never going to happen.	4	11	5	3	5	(ROOT (NP (NP (NNP Never)) (VP (VBG going) (S (VP (TO to) (VP (VB happen))))) (. .)))
TRUMP 	Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.	26	57	28	14	16	(ROOT (S (NP (PRP$ Our) (NN country)) (VP (VBZ is) (VP (VBG suffering) (SBAR (IN because) (S (NP (NP (NNS people)) (PP (IN like) (NP (NNP Secretary) (NNP Clinton)))) (VP (VBP have) (VP (VBN made) (NP (JJ such) (JJ bad) (NNS decisions)) (PP (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (PRP$ our) (NNS jobs))))) (CC and) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG going) (PRT (RP on)))))))))))))))) (. .)))
TRUMP 	"Now, look, we have the worst revival of an economy since the Great Depression."	14	30	17	6	7	"(ROOT (S (S (INTJ (RB Now)) (, ,) (VP (VB look))) (, ,) (NP (PRP we)) (VP (VBP have) (NP (NP (DT the) (JJS worst) (NN revival)) (PP (IN of) (NP (NP (DT an) (NN economy)) (PP (IN since) (NP (DT the) (NNP Great) (NNP Depression))))))) (. .)))"
TRUMP 	And believe me: We're in a bubble right now.	9	22	12	5	5	(ROOT (S (CC And) (S (VP (VB believe) (NP (PRP me)))) (: :) (S (NP (PRP We)) (VP (VBP 're) (PP (IN in) (NP (DT a) (NN bubble))) (ADVP (RB right) (RB now)))) (. .)))
TRUMP 	"And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down."	27	59	31	12	10	"(ROOT (S (S (CC And) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (VBZ looks) (ADJP (JJ good)))))) (VP (VBZ is) (NP (DT the) (NN stock) (NN market)))) (, ,) (CC but) (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP raise) (NP (NN interest) (NNS rates)) (PRT (JJ even)) (NP (DT a) (JJ little) (NN bit))))) (, ,) (NP (DT that)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB come) (S (VP (VBG crashing) (PRT (RP down)))))))))) (. .)))"
TRUMP 	"We are in a big, fat, ugly bubble."	8	16	11	5	4	"(ROOT (S (NP (PRP We)) (VP (VBP are) (PP (IN in) (NP (DT a) (JJ big) (, ,) (JJ fat) (, ,) (JJ ugly) (NN bubble)))) (. .)))"
TRUMP 	And we better be awfully careful.	6	12	7	4	3	(ROOT (S (CC And) (NP (PRP we)) (ADVP (RB better)) (VP (VB be) (ADJP (RB awfully) (JJ careful))) (. .)))
TRUMP 	And we have a Fed that's doing political things.	9	22	11	4	8	(ROOT (S (CC And) (NP (PRP we)) (VP (VBP have) (NP (NP (DT a) (NNP Fed)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (VP (VBG doing) (NP (JJ political) (NNS things)))))))) (. .)))
TRUMP 	This Janet Yellen of the Fed.	6	13	7	1	4	(ROOT (NP (NP (DT This)) (NP (NP (NNP Janet) (NNP Yellen)) (PP (IN of) (NP (DT the) (NNP Fed)))) (. .)))
TRUMP 	The Fed is doing political — by keeping the interest rates at this level.	14	26	15	6	7	(ROOT (S (NP (DT The) (NNP Fed)) (VP (VBZ is) (VP (VBG doing) (NP (JJ political)) (: --) (PP (IN by) (S (VP (VBG keeping) (NP (DT the) (NN interest) (NNS rates))))) (PP (IN at) (NP (DT this) (NN level))))) (. .)))
TRUMP 	"And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job."	49	107	57	21	24	"(ROOT (S (CC And) (S (VP (VB believe) (NP (PRP me)))) (: :) (S (NP (DT The) (NN day) (NN Obama)) (VP (VBZ goes) (PRT (RP off)))) (, ,) (CC and) (S (NP (PRP he)) (VP (VP (VBZ leaves)) (, ,) (CC and) (VP (VBZ goes) (PRT (RP out)) (PP (TO to) (NP (DT the) (NN golf) (NN course)))) (PP (IN for) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (PRP$ his) (NN life) (S (VP (TO to) (VP (VB play) (NP (NP (NN golf)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP raise) (NP (NN interest) (NNS rates)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB see) (S (NP (DT some) (ADJP (RB very) (JJ bad)) (NNS things)) (VP (VB happen))))))))) (, ,)) (SBAR (IN because) (S (NP (DT the) (NNP Fed)) (VP (VBZ is) (RB not) (VP (VBG doing) (NP (PRP$ their) (NN job))))))))))))))))))) (. .)))"
TRUMP 	The Fed is being more political than Secretary Clinton.	9	17	10	5	5	(ROOT (S (NP (DT The) (NNP Fed)) (VP (VBZ is) (VP (VBG being) (ADJP (RBR more) (JJ political)) (PP (IN than) (NP (NNP Secretary) (NNP Clinton))))) (. .)))
